Season,Team,W,L,W/L%,Playoffs
2017-18,Boston Celtics,29,10,0.744,
2016-17,Boston Celtics,53,29,0.646,Lost E. Conf. Finals
2015-16,Boston Celtics,48,34,0.585,Lost E. Conf. 1st Rnd.
2014-15,Boston Celtics,40,42,0.488,Lost E. Conf. 1st Rnd.
2013-14,Boston Celtics,25,57,0.305,
2012-13,Boston Celtics,41,40,0.506,Lost E. Conf. 1st Rnd.
2011-12,Boston Celtics,39,27,0.591,Lost E. Conf. Finals
2010-11,Boston Celtics,56,26,0.683,Lost E. Conf. Semis
2009-10,Boston Celtics,50,32,0.61,Lost Finals
2008-09,Boston Celtics,62,20,0.756,Lost E. Conf. Semis
2017-18,Toronto Raptors,24,10,0.706,
2016-17,Toronto Raptors,51,31,0.622,Lost E. Conf. Semis
2015-16,Toronto Raptors,56,26,0.683,Lost E. Conf. Finals
2014-15,Toronto Raptors,49,33,0.598,Lost E. Conf. 1st Rnd.
2013-14,Toronto Raptors,48,34,0.585,Lost E. Conf. 1st Rnd.
2012-13,Toronto Raptors,34,48,0.415,
2011-12,Toronto Raptors,23,43,0.348,
2010-11,Toronto Raptors,22,60,0.268,
2009-10,Toronto Raptors,40,42,0.488,
2008-09,Toronto Raptors,33,49,0.402,
2017-18,New York Knicks,17,18,0.486,
2016-17,New York Knicks,31,51,0.378,
2015-16,New York Knicks,32,50,0.39,
2014-15,New York Knicks,17,65,0.207,
2013-14,New York Knicks,37,45,0.451,
2012-13,New York Knicks,54,28,0.659,Lost E. Conf. Semis
2011-12,New York Knicks,36,30,0.545,Lost E. Conf. 1st Rnd.
2010-11,New York Knicks,42,40,0.512,Lost E. Conf. 1st Rnd.
2009-10,New York Knicks,29,53,0.354,
2008-09,New York Knicks,32,50,0.39,
2017-18,Philadelphia 76ers,15,19,0.441,
2016-17,Philadelphia 76ers,28,54,0.341,
2015-16,Philadelphia 76ers,10,72,0.122,
2014-15,Philadelphia 76ers,18,64,0.22,
2013-14,Philadelphia 76ers,19,63,0.232,
2012-13,Philadelphia 76ers,34,48,0.415,
2011-12,Philadelphia 76ers,35,31,0.53,Lost E. Conf. Semis
2010-11,Philadelphia 76ers,41,41,0.5,Lost E. Conf. 1st Rnd.
2009-10,Philadelphia 76ers,27,55,0.329,
2008-09,Philadelphia 76ers,41,41,0.5,Lost E. Conf. 1st Rnd.
2017-18,Brooklyn Nets,13,22,0.371,
2016-17,Brooklyn Nets,20,62,0.244,
2015-16,Brooklyn Nets,21,61,0.256,
2014-15,Brooklyn Nets,38,44,0.463,Lost E. Conf. 1st Rnd.
2013-14,Brooklyn Nets,44,38,0.537,Lost E. Conf. Semis
2012-13,Brooklyn Nets,49,33,0.598,Lost E. Conf. 1st Rnd.
2011-12,Brooklyn Nets,22,44,0.333,
2010-11,Brooklyn Nets,24,58,0.293,
2009-10,Brooklyn Nets,12,70,0.146,
2008-09,Brooklyn Nets,34,48,0.415,
2017-18,Minnesota Timberwolves,22,14,0.611,
2016-17,Minnesota Timberwolves,31,51,0.378,
2015-16,Minnesota Timberwolves,29,53,0.354,
2014-15,Minnesota Timberwolves,16,66,0.195,
2013-14,Minnesota Timberwolves,40,42,0.488,
2012-13,Minnesota Timberwolves,31,51,0.378,
2011-12,Minnesota Timberwolves,26,40,0.394,
2010-11,Minnesota Timberwolves,17,65,0.207,
2009-10,Minnesota Timberwolves,15,67,0.183,
2008-09,Minnesota Timberwolves,24,58,0.293,
2017-18,Oklahoma City Thunder,20,16,0.556,
2016-17,Oklahoma City Thunder,47,35,0.573,Lost W. Conf. 1st Rnd.
2015-16,Oklahoma City Thunder,55,27,0.671,Lost W. Conf. Finals
2014-15,Oklahoma City Thunder,45,37,0.549,
2013-14,Oklahoma City Thunder,59,23,0.72,Lost W. Conf. Finals
