Season Start,Season End,Team,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,Salary,Salary w/ Inflation
2008,2009,Atlanta Hawks,98.1,36.0,78.7,45.8,7.3,19.9,36.6,18.7,25.4,73.7,10.6,29.4,40.0,20.2,12.8,7.4,4.6,4.3,"$68,168,841 ","$79,797,863 "
2009,2010,Atlanta Hawks,101.7,38.8,82.9,46.8,6.4,17.7,36.0,17.7,23.3,75.9,11.8,29.9,41.7,21.8,12.0,7.2,5.0,4.4,"$65,883,642 ","$78,239,128 "
2010,2011,Atlanta Hawks,95.0,36.2,78.4,46.2,6.1,17.4,35.2,16.4,21.1,77.9,9.3,30.0,39.3,22.0,13.6,6.1,4.2,4.2,"$71,469,843 ","$83,988,250 "
2011,2012,Atlanta Hawks,96.6,36.8,81.0,45.4,7.5,20.2,37.0,15.5,21.0,74.0,9.9,31.3,41.2,22.4,14.0,8.1,4.6,4.7,"$73,669,912 ","$83,598,545 "
2012,2013,Atlanta Hawks,98.0,37.6,81.0,46.4,8.6,23.2,37.1,14.1,19.7,71.5,9.2,31.6,40.9,24.5,14.9,8.1,4.5,4.3,"$66,710,178 ","$74,461,791 "
2013,2014,Atlanta Hawks,101.0,37.3,81.6,45.8,9.4,25.8,36.3,17.0,21.7,78.1,8.7,31.3,40.0,24.9,15.3,8.3,4.0,4.3,"$58,998,677 ","$64,718,790 "
2014,2015,Atlanta Hawks,102.5,38.1,81.7,46.6,10.0,26.2,38.0,16.5,21.2,77.8,8.7,31.8,40.6,25.7,14.2,9.1,4.6,4.9,"$58,320,278 ","$62,675,759 "
2015,2016,Atlanta Hawks,102.8,38.6,84.4,45.8,9.9,28.4,35.0,15.6,20.0,78.3,8.3,33.8,42.1,25.6,15.0,9.1,5.9,5.0,"$71,661,760 ","$76,918,414 "
2016,2017,Atlanta Hawks,103.2,38.1,84.4,45.1,8.9,26.1,34.1,18.1,24.9,72.8,10.3,34.1,44.3,23.6,15.8,8.2,4.8,5.2,"$96,315,163 ","$102,359,377 "
2017,2018,Atlanta Hawks,103.4,38.2,85.5,44.6,11.2,31.0,36.0,15.8,20.2,78.5,9.1,32.8,41.9,23.7,15.5,7.8,4.2,5.5,"$99,992,696 ","$104,559,718 "
2008,2009,Boston Celtics,100.9,37.5,77.2,48.6,6.6,16.5,39.7,19.4,25.3,76.5,10.6,31.5,42.1,22.7,15.6,7.6,4.7,4.7,"$79,188,973 ","$92,697,938 "
2009,2010,Boston Celtics,99.2,37.1,76.8,48.3,6.1,17.5,34.8,19.0,25.5,74.6,8.7,29.9,38.6,23.5,14.9,8.5,4.9,4.7,"$83,552,174 ","$99,221,130 "
2010,2011,Boston Celtics,96.5,36.9,75.8,48.6,5.0,13.6,36.5,17.8,23.1,77.0,7.8,31.0,38.8,23.4,14.6,8.2,4.2,4.4,"$82,045,867 ","$96,416,732 "
2011,2012,Boston Celtics,91.8,35.5,77.1,46.0,5.5,15.0,36.7,15.4,19.8,77.8,7.7,31.1,38.8,23.6,14.8,7.5,5.5,4.6,"$79,820,530 ","$90,578,092 "
2012,2013,Boston Celtics,96.5,37.0,79.7,46.5,6.1,17.2,35.8,16.3,21.0,77.6,8.1,31.3,39.3,22.8,14.6,8.2,4.5,4.7,"$75,508,399 ","$84,282,350 "
2013,2014,Boston Celtics,96.2,36.5,83.9,43.5,7.0,21.1,33.3,16.2,20.8,77.7,12.0,30.5,42.5,21.0,15.4,7.1,4.2,4.5,"$70,885,503 ","$77,758,083 "
2014,2015,Boston Celtics,101.4,38.9,87.9,44.3,8.0,24.6,32.7,15.4,20.5,75.4,11.1,32.7,43.8,24.5,13.8,8.2,3.6,5.3,"$62,218,516 ","$66,865,124 "
2015,2016,Boston Celtics,105.7,39.2,89.2,43.9,8.7,26.1,33.5,18.5,23.5,78.8,11.6,33.3,44.9,24.2,13.7,9.2,4.2,5.5,"$77,141,919 ","$82,800,561 "
2016,2017,Boston Celtics,108.0,38.6,85.1,45.4,12.0,33.4,35.9,18.7,23.2,80.7,9.1,32.9,42.0,25.2,13.3,7.5,4.1,5.2,"$93,465,326 ","$99,330,698 "
2017,2018,Boston Celtics,104.0,38.3,85.1,45.0,11.5,30.4,37.7,16.0,20.7,77.1,9.4,35.1,44.5,22.5,14.0,7.4,4.5,4.4,"$115,284,776 ","$120,550,249 "
2012,2013,Brooklyn Nets,96.9,35.9,79.8,45.0,7.7,21.5,35.7,17.5,23.9,73.1,12.8,30.0,42.8,20.3,14.7,7.3,4.8,4.8,"$62,666,523 ","$73,356,896 "
2013,2014,Brooklyn Nets,98.5,35.7,77.9,45.9,8.6,23.4,36.9,18.4,24.4,75.3,8.8,29.4,38.1,20.9,14.5,8.6,3.8,4.1,"$59,366,715 ","$70,500,047 "
2014,2015,Brooklyn Nets,98.0,37.4,83.0,45.1,6.6,19.9,33.1,16.6,22.2,74.8,10.3,32.0,42.4,20.9,13.8,7.0,4.1,4.5,"$58,495,989 ","$68,741,936 "
2015,2016,Brooklyn Nets,98.6,38.2,84.4,45.3,6.5,18.4,35.2,15.7,20.7,75.7,10.5,31.9,42.4,22.3,14.8,7.6,4.0,5.2,"$65,281,235 ","$74,079,304 "
2016,2017,Brooklyn Nets,105.8,37.8,85.2,44.4,10.7,31.6,33.8,19.4,24.6,78.8,8.8,35.1,43.9,21.4,16.5,7.2,4.7,5.6,"$87,644,649 ","$97,828,818 "
2017,2018,Brooklyn Nets,106.6,38.2,86.8,44.1,12.7,35.7,35.6,17.4,22.6,77.2,9.7,34.8,44.4,23.7,15.2,6.2,4.8,5.5,"$102,589,967 ","$112,536,402 "
2008,2009,Charlotte Bobcats,93.6,35.0,76.8,45.5,6.0,16.3,36.6,17.7,24.0,74.0,10.8,28.9,39.7,21.2,15.6,7.1,4.8,6.0,"$87,817,289 ","$94,375,678 "
2009,2010,Charlotte Bobcats,95.3,34.9,76.9,45.3,5.6,16.2,34.6,20.0,26.6,75.1,10.5,30.4,40.8,20.2,15.7,7.7,5.4,6.1,"$80,258,302 ","$86,145,542 "
2010,2011,Charlotte Bobcats,93.3,35.0,77.6,45.1,4.8,14.7,32.7,18.4,24.4,75.6,10.3,29.8,40.1,21.1,14.5,6.4,5.3,6.0,"$82,391,482 ","$87,561,919 "
2011,2012,Charlotte Bobcats,87.0,33.2,80.2,41.4,4.0,13.5,29.5,16.5,22.2,74.6,10.3,28.7,39.0,20.1,14.5,6.0,5.5,5.7,"$95,475,397 ","$99,836,100 "
2012,2013,Charlotte Bobcats,93.4,34.4,81.1,42.5,5.7,17.1,33.5,18.9,25.1,75.0,11.2,29.1,40.3,19.4,14.1,7.2,5.8,6.9,"$62,866,926 ","$73,591,487 "
2013,2014,Charlotte Bobcats,96.9,36.3,82.1,44.2,6.3,17.9,35.1,18.0,24.4,73.7,9.5,33.2,42.7,21.7,12.3,6.1,5.1,5.1,"$68,681,758 ","$81,561,990 "
2014,2015,Charlotte Hornets,94.2,35.5,84.5,42.0,6.1,19.1,31.8,17.0,22.8,74.8,10.0,34.1,44.1,20.2,11.9,6.1,5.5,5.4,"$66,542,696 ","$78,198,077 "
2015,2016,Charlotte Hornets,103.4,37.0,84.4,43.9,10.6,29.4,36.2,18.7,23.7,79.0,9.0,35.0,43.9,21.7,12.5,7.3,5.3,5.5,"$57,902,024 ","$65,705,585 "
2016,2017,Charlotte Hornets,104.9,37.7,85.4,44.2,10.0,28.6,35.1,19.4,23.8,81.5,8.8,34.8,43.6,23.1,11.5,7.0,4.8,5.5,"$58,122,566 ","$64,876,315 "
2017,2018,Charlotte Hornets,108.2,39.0,86.7,45.0,10.0,27.2,36.9,20.2,27.0,74.7,10.1,35.4,45.5,21.6,12.7,6.8,4.5,4.9,"$60,395,651 ","$66,251,205 "
2008,2009,Chicago Bulls,102.2,38.1,83.5,45.7,6.0,15.8,38.1,19.9,25.0,79.6,11.8,30.3,42.1,21.1,14.5,7.5,5.5,5.5,"$66,792,937 ","$71,781,177 "
2009,2010,Chicago Bulls,97.5,37.6,83.2,45.1,4.3,13.0,33.0,18.0,23.9,75.4,11.4,33.1,44.5,20.8,14.3,6.5,5.8,5.3,"$76,860,006 ","$82,497,971 "
