player_id,salary_mm,year,team_name,team_id
abdursh01,6.6,2009,Sacramento Kings,SAC
abrinal01,5.99,2016,Oklahoma City Thunder,OKC
abrinal01,5.73,2017,Oklahoma City Thunder,OKC
acyqu01,0.67,2012,Toronto Raptors,TOR
acyqu01,0.79,2013,Toronto Raptors,TOR
acyqu01,0.92,2014,New York Knicks,NYK
acyqu01,0.98,2015,Sacramento Kings,SAC
acyqu01,1.91,2016,Brooklyn Nets,BKN
acyqu01,1.05,2016,Dallas Mavericks,DAL
acyqu01,1.71,2017,Brooklyn Nets,BKN
adamsjo01,1.34,2014,Memphis Grizzlies,MEM
adamsjo01,1.4,2015,Memphis Grizzlies,MEM
adamsjo01,1.47,2016,Memphis Grizzlies,MEM
adamsst01,2.09,2013,Oklahoma City Thunder,OKC
adamsst01,2.18,2014,Oklahoma City Thunder,OKC
adamsst01,2.28,2015,Oklahoma City Thunder,OKC
adamsst01,3.14,2016,Oklahoma City Thunder,OKC
adamsst01,22.47,2017,Oklahoma City Thunder,OKC
adebaba01,2.49,2017,Miami Heat,MIA
adrieje01,0.34,2010,Golden State Warriors,GSW
adrieje01,0.27,2011,Houston Rockets,HOU
adrieje01,0.8,2012,Charlotte Hornets,CHA
adrieje01,0.92,2013,Charlotte Hornets,CHA
adrieje01,0.98,2014,Houston Rockets,HOU
afflaar01,1.09,2009,Denver Nuggets,DEN
afflaar01,1.96,2010,Denver Nuggets,DEN
afflaar01,7.56,2011,Denver Nuggets,DEN
afflaar01,7.75,2012,Orlando Magic,ORL
afflaar01,7.31,2013,Orlando Magic,ORL
afflaar01,7.75,2014,Portland Trail Blazers,POR
afflaar01,8,2015,New York Knicks,NYK
afflaar01,12.5,2016,Sacramento Kings,SAC
afflaar01,1.5,2017,Sacramento Kings,SAC
afflaar01,1.47,2017,Orlando Magic,ORL
agerma01,0.08,2010,Minnesota Timberwolves,MIN
ajincal01,1.37,2009,Charlotte Hornets,CHA
ajincal01,1.47,2010,Toronto Raptors,TOR
ajincal01,0.98,2014,New Orleans Pelicans,NOP
ajincal01,4.3,2015,New Orleans Pelicans,NOP
ajincal01,4.6,2016,New Orleans Pelicans,NOP
ajincal01,4.96,2017,New Orleans Pelicans,NOP
akognjo01,0.79,2013,Memphis Grizzlies,MEM
alabiso01,0.77,2010,Toronto Raptors,TOR
alabiso01,0.83,2011,Toronto Raptors,TOR
aldemfu01,3,2014,Philadelphia 76ers,PHI
aldemfu01,3,2015,Philadelphia 76ers,PHI
aldrico01,2.13,2010,Oklahoma City Thunder,OKC
aldrico01,2.29,2011,Oklahoma City Thunder,OKC
aldrico01,2.45,2012,Sacramento Kings,SAC
aldrico01,0.98,2014,New York Knicks,NYK
aldrico01,1.1,2015,Los Angeles Clippers,LAC
aldrico01,7.64,2016,Minnesota Timberwolves,MIN
aldrico01,7.3,2017,Minnesota Timberwolves,MIN
aldrila01,5.84,2009,Portland Trail Blazers,POR
aldrila01,11.24,2010,Portland Trail Blazers,POR
aldrila01,12.37,2011,Portland Trail Blazers,POR
aldrila01,13.5,2012,Portland Trail Blazers,POR
aldrila01,14.13,2013,Portland Trail Blazers,POR
aldrila01,16.01,2014,Portland Trail Blazers,POR
aldrila01,19.5,2015,San Antonio Spurs,SAN
aldrila01,20.58,2016,San Antonio Spurs,SAN
aldrila01,21.46,2017,San Antonio Spurs,SAN
alexacl01,0.53,2015,Portland Trail Blazers,POR
alexacl01,0.05,2016,Brooklyn Nets,BKN
alexajo01,2.58,2009,Chicago Bulls,CHI
alexajo01,0.09,2010,New Orleans Hornets,NOP
allenja01,1.71,2017,Brooklyn Nets,BKN
allenla01,0.47,2011,Philadelphia 76ers,PHI
allenla01,3,2012,Philadelphia 76ers,PHI
allenla01,3.06,2013,Philadelphia 76ers,PHI
allenla01,0.95,2014,Indiana Pacers,IND
allenla01,3.7,2015,Indiana Pacers,IND
allenla01,4,2016,Indiana Pacers,IND
allenma01,1.3,2009,Denver Nuggets,DEN
allenma01,1.23,2010,Orlando Magic,ORL
allenra02,18.78,2009,Boston Celtics,BOS
allenra02,10,2010,Boston Celtics,BOS
allenra02,10,2011,Boston Celtics,BOS
allenra02,3.09,2012,Miami Heat,MIA
allenra02,3.23,2013,Miami Heat,MIA
allento01,2.5,2009,Boston Celtics,BOS
allento01,3,2010,Memphis Grizzlies,MEM
allento01,3.15,2011,Memphis Grizzlies,MEM
allento01,3.3,2012,Memphis Grizzlies,MEM
allento01,4.49,2013,Memphis Grizzlies,MEM
allento01,4.83,2014,Memphis Grizzlies,MEM
allento01,5.17,2015,Memphis Grizzlies,MEM
allento01,5.51,2016,Memphis Grizzlies,MEM
allento01,1.47,2017,Chicago Bulls,CHI
alstora01,4.3,2009,Brooklyn Nets,BKN
alstora01,0.75,2009,Miami Heat,MIA
aminual01,2.56,2010,Los Angeles Clippers,LAC
aminual01,2.76,2011,New Orleans Hornets,NOP
aminual01,2.95,2012,New Orleans Hornets,NOP
aminual01,3.7,2013,New Orleans Pelicans,NOP
aminual01,0.98,2014,Dallas Mavericks,DAL
aminual01,7.5,2015,Portland Trail Blazers,POR
aminual01,7.68,2016,Portland Trail Blazers,POR
aminual01,7.32,2017,Portland Trail Blazers,POR
amundlo01,0.86,2009,Phoenix Suns,PHX
amundlo01,2.23,2010,Golden State Warriors,GSW
amundlo01,2.4,2011,Indiana Pacers,IND
amundlo01,1.07,2012,Minnesota Timberwolves,MIN
amundlo01,0.41,2014,New York Knicks,NYK
amundlo01,1.65,2015,New York Knicks,NYK
amundlo01,1.55,2016,New York Knicks,NYK
anderch01,3.65,2009,Denver Nuggets,DEN
anderch01,4.53,2010,Denver Nuggets,DEN
anderch01,4.23,2011,Denver Nuggets,DEN
anderch01,4.53,2012,Denver Nuggets,DEN
anderch01,0.7,2012,Miami Heat,MIA
anderch01,1.4,2013,Miami Heat,MIA
anderch01,5.38,2014,Miami Heat,MIA
anderch01,5,2015,Memphis Grizzlies,MEM
anderch01,1.55,2016,Charlotte Hornets,CHA
anderda03,2.3,2009,Houston Rockets,HOU
anderda03,2.5,2010,New Orleans Hornets,NOP
anderal01,0.89,2012,Toronto Raptors,TOR
anderal01,0.95,2013,Brooklyn Nets,BKN
anderal01,1.28,2014,Brooklyn Nets,BKN
anderal01,4,2015,Washington Wizards,WAS
anderal01,1.32,2016,Los Angeles Clippers,LAC
anderja01,1.36,2010,San Antonio Spurs,SAN
anderja01,1.46,2011,San Antonio Spurs,SAN
anderja01,0.47,2012,Houston Rockets,HOU
anderja01,0.15,2012,San Antonio Spurs,SAN
anderja01,0.92,2013,Philadelphia 76ers,PHI
anderja01,1.02,2015,Sacramento Kings,SAC
anderju01,1.45,2015,Dallas Mavericks,DAL
anderju01,1.51,2016,Philadelphia 76ers,PHI
anderju01,1.58,2017,Philadelphia 76ers,PHI
anderky01,1.09,2014,San Antonio Spurs,SAN
anderky01,1.14,2015,San Antonio Spurs,SAN
anderky01,1.19,2016,San Antonio Spurs,SAN
anderky01,2.15,2017,San Antonio Spurs,SAN
anderry01,1.32,2009,Orlando Magic,ORL
anderry01,1.41,2010,Orlando Magic,ORL
anderry01,2.24,2011,Orlando Magic,ORL
anderry01,8.7,2012,New Orleans Hornets,NOP
anderry01,8.31,2013,New Orleans Pelicans,NOP
anderry01,8.49,2014,New Orleans Pelicans,NOP
anderry01,8.5,2015,New Orleans Pelicans,NOP
anderry01,18.74,2016,Houston Rockets,HOU
anderry01,19.58,2017,Houston Rockets,HOU
anigbik01,0.95,2017,Indiana Pacers,IND
antetgi01,1.79,2013,Milwaukee Bucks,MIL
antetgi01,1.87,2014,Milwaukee Bucks,MIL
antetgi01,1.95,2015,Milwaukee Bucks,MIL
antetgi01,3,2016,Milwaukee Bucks,MIL
antetgi01,22.47,2017,Milwaukee Bucks,MIL
antetth01,0.11,2015,New York Knicks,NYK
anthoca01,15.78,2009,Denver Nuggets,DEN
anthoca01,17.15,2010,New York Knicks,NYK
anthoca01,18.52,2011,New York Knicks,NYK
anthoca01,19.45,2012,New York Knicks,NYK
anthoca01,22.41,2013,New York Knicks,NYK
anthoca01,22.46,2014,New York Knicks,NYK
anthoca01,22.88,2015,New York Knicks,NYK
anthoca01,24.56,2016,New York Knicks,NYK
anthoca01,26.24,2017,Oklahoma City Thunder,OKC
anthojo01,0.83,2009,Miami Heat,MIA
anthojo01,3.3,2010,Miami Heat,MIA
anthojo01,3.6,2011,Miami Heat,MIA
anthojo01,3.75,2012,Miami Heat,MIA
anthojo01,3.8,2013,Miami Heat,MIA
anthojo01,3.8,2014,Detroit Pistons,DET
anthojo01,2.5,2015,Detroit Pistons,DET
anthojo01,0.66,2016,San Antonio Spurs,SAN
anticpe01,1.25,2014,Atlanta Hawks,ATL
anunoog01,1.65,2017,Toronto Raptors,TOR
applike01,0.16,2015,Orlando Magic,ORL
arenagi01,16.19,2009,Washington Wizards,WAS
arenagi01,17.73,2010,Orlando Magic,ORL
arenagi01,19.27,2011,Orlando Magic,ORL
arenagi01,20.81,2012,Orlando Magic,ORL
arizatr01,5.85,2009,Houston Rockets,HOU
arizatr01,6.32,2010,New Orleans Hornets,NOP
arizatr01,6.79,2011,New Orleans Hornets,NOP
arizatr01,7.26,2012,Washington Wizards,WAS
arizatr01,7.73,2013,Washington Wizards,WAS
arizatr01,8.58,2014,Houston Rockets,HOU
arizatr01,8.19,2015,Houston Rockets,HOU
arizatr01,7.81,2016,Houston Rockets,HOU
arizatr01,7.42,2017,Houston Rockets,HOU
armsthi01,2.8,2009,Houston Rockets,HOU
armsthi01,0.99,2010,Atlanta Hawks,ATL
arroyca01,1.11,2009,Miami Heat,MIA
arroyca01,1.22,2010,Miami Heat,MIA
arthuda01,1.05,2009,Memphis Grizzlies,MEM
arthuda01,1.12,2010,Memphis Grizzlies,MEM
arthuda01,2.03,2011,Memphis Grizzlies,MEM
arthuda01,3.01,2012,Memphis Grizzlies,MEM
arthuda01,3.23,2013,Denver Nuggets,DEN
arthuda01,3.46,2014,Denver Nuggets,DEN
arthuda01,2.81,2015,Denver Nuggets,DEN
arthuda01,8.07,2016,Denver Nuggets,DEN
arthuda01,7.46,2017,Denver Nuggets,DEN
asikom01,1.72,2010,Chicago Bulls,CHI
asikom01,1.86,2011,Chicago Bulls,CHI
asikom01,8.37,2012,Houston Rockets,HOU
asikom01,8.37,2013,Houston Rockets,HOU
asikom01,8.37,2014,New Orleans Pelicans,NOP
asikom01,11,2015,New Orleans Pelicans,NOP
asikom01,9.9,2016,New Orleans Pelicans,NOP
asikom01,10.6,2017,Chicago Bulls,CHI
atkinch01,1.31,2009,Detroit Pistons,DET
atkinch01,0.76,2009,Minnesota Timberwolves,MIN
augusdj01,2.39,2009,Charlotte Hornets,CHA
augusdj01,2.54,2010,Charlotte Hornets,CHA
augusdj01,3.24,2011,Charlotte Hornets,CHA
augusdj01,3.5,2012,Indiana Pacers,IND
augusdj01,1.27,2013,Toronto Raptors,TOR
augusdj01,3,2014,Oklahoma City Thunder,OKC
augusdj01,3,2015,Denver Nuggets,DEN
augusdj01,7.25,2016,Orlando Magic,ORL
augusdj01,7.25,2017,Orlando Magic,ORL
ayongu01,1.57,2011,New Orleans Hornets,NOP
ayongu01,1.5,2012,Milwaukee Bucks,MIL
ayongu01,1.5,2013,Atlanta Hawks,ATL
pendeje02,0.46,2009,Portland Trail Blazers,POR
pendeje02,1.5,2011,Indiana Pacers,IND
pendeje02,1.5,2012,Indiana Pacers,IND
pendeje02,1.75,2013,San Antonio Spurs,SAN
pendeje02,1.83,2014,San Antonio Spurs,SAN
pendeje02,0.32,2015,Los Angeles Clippers,LAC
azubuke01,3.13,2009,Golden State Warriors,GSW
azubuke01,3.3,2010,New York Knicks,NYK
azubuke01,0.89,2012,Cleveland Cavaliers,CLE
babbch01,0.05,2014,Boston Celtics,BOS
babbilu01,1.65,2010,Portland Trail Blazers,POR
babbilu01,1.77,2011,Portland Trail Blazers,POR
babbilu01,1.89,2012,Portland Trail Blazers,POR
babbilu01,0.98,2014,New Orleans Pelicans,NOP
babbilu01,1.1,2015,New Orleans Pelicans,NOP
babbilu01,1.23,2016,Miami Heat,MIA
babbilu01,1.97,2017,Miami Heat,MIA
bacondw01,0.82,2017,Charlotte Hornets,CHA
bairsca01,0.51,2014,Chicago Bulls,CHI
bairsca01,0.85,2015,Chicago Bulls,CHI
bakerro01,0.54,2016,New York Knicks,NYK
bakerro01,4.33,2017,New York Knicks,NYK
balkmre01,2.11,2009,Denver Nuggets,DEN
balkmre01,1.68,2010,New York Knicks,NYK
balkmre01,1.68,2011,New York Knicks,NYK
balkmre01,1.68,2012,New York Knicks,NYK
balllo01,6.29,2017,Los Angeles Lakers,LAL
banksma01,4.55,2009,Toronto Raptors,TOR
banksma01,4.85,2010,New Orleans Hornets,NOP
barbole01,6.6,2009,Phoenix Suns,PHX
barbole01,7.1,2010,Toronto Raptors,TOR
barbole01,7.6,2011,Toronto Raptors,TOR
barbole01,1.23,2012,Washington Wizards,WAS
barbole01,1.45,2014,Golden State Warriors,GSW
barbole01,2.5,2015,Golden State Warriors,GSW
barbole01,4,2016,Phoenix Suns,PHX
barbole01,0.5,2017,Phoenix Suns,PHX
bareajo01,1.66,2009,Dallas Mavericks,DAL
bareajo01,1.82,2010,Dallas Mavericks,DAL
bareajo01,4.3,2011,Minnesota Timberwolves,MIN
bareajo01,4.49,2012,Minnesota Timberwolves,MIN
bareajo01,4.69,2013,Minnesota Timberwolves,MIN
bareajo01,1.31,2014,Dallas Mavericks,DAL
bareajo01,4,2015,Dallas Mavericks,DAL
bareajo01,4.1,2016,Dallas Mavericks,DAL
bareajo01,3.9,2017,Dallas Mavericks,DAL
bargnan01,6.53,2009,Toronto Raptors,TOR
bargnan01,8.5,2010,Toronto Raptors,TOR
bargnan01,9.25,2011,Toronto Raptors,TOR
bargnan01,10,2012,Toronto Raptors,TOR
bargnan01,11.86,2013,New York Knicks,NYK
bargnan01,11.5,2014,New York Knicks,NYK
bargnan01,1.04,2015,Brooklyn Nets,BKN
bargnan01,0.32,2016,Brooklyn Nets,BKN
barneha02,2.8,2012,Golden State Warriors,GSW
barneha02,2.92,2013,Golden State Warriors,GSW
barneha02,3.05,2014,Golden State Warriors,GSW
barneha02,3.87,2015,Golden State Warriors,GSW
barneha02,22.12,2016,Dallas Mavericks,DAL
barneha02,23.11,2017,Dallas Mavericks,DAL
barnema02,1.6,2009,Orlando Magic,ORL
barnema02,1.77,2010,Los Angeles Lakers,LAL
barnema02,1.91,2011,Los Angeles Lakers,LAL
barnema02,1.23,2012,Los Angeles Clippers,LAC
barnema02,3.25,2013,Los Angeles Clippers,LAC
barnema02,3.4,2014,Los Angeles Clippers,LAC
barnema02,3.54,2015,Memphis Grizzlies,MEM
barnema02,6.13,2016,Sacramento Kings,SAC
barnema02,0.38,2016,Golden State Warriors,GSW
barnema02,2.13,2017,Sacramento Kings,SAC
barroea01,0.19,2010,Phoenix Suns,PHX
barroea01,0.19,2011,Golden State Warriors,GSW
barroea01,0.36,2012,Washington Wizards,WAS
barroea01,0.11,2014,Phoenix Suns,PHX
barrybr01,2.06,2009,Houston Rockets,HOU
bartowi01,0.55,2012,Portland Trail Blazers,POR
bartowi01,0.79,2013,Portland Trail Blazers,POR
bartowi01,0.92,2014,Denver Nuggets,DEN
bartowi01,3.33,2015,Denver Nuggets,DEN
bartowi01,3.53,2016,Denver Nuggets,DEN
bartowi01,3.53,2017,Denver Nuggets,DEN
bassbr01,4,2009,Orlando Magic,ORL
bassbr01,4,2010,Orlando Magic,ORL
bassbr01,4.25,2011,Boston Celtics,BOS
bassbr01,6,2012,Boston Celtics,BOS
bassbr01,6.45,2013,Boston Celtics,BOS
bassbr01,6.9,2014,Boston Celtics,BOS
bassbr01,3,2015,Los Angeles Lakers,LAL
bassbr01,1.55,2016,Los Angeles Clippers,LAC
battito01,6.29,2009,Brooklyn Nets,BKN
