team_id,team_city,year,ats_record,wins,losses,ties,ats_ win_percentage
BOS,Boston,2007,66-40-2,66,40,2,61.10%
LAL,LA Lakers,2007,57-44-2,57,44,2,55.30%
NOP,New Orleans,2007,56-36-2,56,36,2,59.60%
ORD,Orlando,2007,55-34-3,55,34,3,59.80%
DET,Detroit,2007,55-43-1,55,43,1,55.60%
UTA,Utah,2007,51-42-1,51,42,1,54.30%
HOU,Houston,2007,50-36-2,50,36,2,56.80%
WAS,Washington,2007,48-40-0,48,40,0,54.50%
CLE,Cleveland,2007,47-48-0,47,48,0,49.50%
PHI,Philadelphia,2007,45-40-3,45,40,3,51.10%
SAN,San Antonio,2007,45-51-3,45,51,3,45.50%
SAC,Sacramento,2007,44-37-1,44,37,1,53.70%
DEN,Denver,2007,44-42-0,44,42,0,51.20%
POR,Portland,2007,43-39-0,43,39,0,52.40%
PHX,Phoenix,2007,41-42-4,41,42,4,47.10%
TOR,Toronto,2007,41-45-1,41,45,1,47.10%
ATL,Atlanta,2007,40-48-1,40,48,1,44.90%
OKC,Okla City,2007,39-40-3,39,40,3,47.60%
MIN,Minnesota,2007,39-42-1,39,42,1,47.60%
IND,Indiana,2007,39-42-1,39,42,1,47.60%
NYK,New York,2007,37-44-1,37,44,1,45.10%
DAL,Dallas,2007,37-46-4,37,46,4,42.50%
CHI,Chicago,2007,36-46-0,36,46,0,43.90%
CHA,Charlotte,2007,35-45-2,35,45,2,42.70%
MEM,Memphis,2007,35-46-1,35,46,1,42.70%
MIA,Miami,2007,35-46-1,35,46,1,42.70%
MIL,Milwaukee,2007,35-47-0,35,47,0,42.70%
GSW,Golden State,2007,34-48-0,34,48,0,41.50%
BKN,Brooklyn,2007,33-47-2,33,47,2,40.20%
LAC,LA Clippers,2007,33-49-0,33,49,0,40.20%
CLE,Cleveland,2008,58-37-1,58,37,1,60.40%
DEN,Denver,2008,57-40-1,57,40,1,58.20%
ORD,Orlando,2008,61-44-1,61,44,1,57.50%
NYK,New York,2008,47-34-1,47,34,1,57.30%
OKC,Okla City,2008,46-35-1,46,35,1,56.10%
CHA,Charlotte,2008,46-36-0,46,36,0,56.10%
POR,Portland,2008,49-39-0,49,39,0,55.70%
IND,Indiana,2008,44-36-2,44,36,2,53.70%
LAL,LA Lakers,2008,56-49-0,56,49,0,53.30%
BKN,Brooklyn,2008,43-38-1,43,38,1,52.40%
CHI,Chicago,2008,45-42-2,45,42,2,50.60%
ATL,Atlanta,2008,47-44-2,47,44,2,50.50%
BOS,Boston,2008,49-46-1,49,46,1,51.00%
MIL,Milwaukee,2008,41-39-2,41,39,2,50.00%
MIA,Miami,2008,43-44-2,43,44,2,48.30%
GSW,Golden State,2008,39-40-3,39,40,3,47.60%
HOU,Houston,2008,46-48-1,46,48,1,48.40%
UTA,Utah,2008,42-45-0,42,45,0,48.30%
SAN,San Antonio,2008,41-44-2,41,44,2,47.10%
DAL,Dallas,2008,44-48-0,44,48,0,47.80%
MEM,Memphis,2008,38-43-1,38,43,1,46.30%
PHI,Philadelphia,2008,40-46-2,40,46,2,45.50%
SAC,Sacramento,2008,38-44-0,38,44,0,46.30%
MIN,Minnesota,2008,37-43-2,37,43,2,45.10%
PHX,Phoenix,2008,35-45-2,35,45,2,42.70%
TOR,Toronto,2008,33-47-2,33,47,2,40.20%
NOP,New Orleans,2008,35-50-2,35,50,2,40.20%
DET,Detroit,2008,34-52-0,34,52,0,39.50%
LAC,LA Clippers,2008,32-50-0,32,50,0,39.00%
WAS,Washington,2008,31-49-2,31,49,2,37.80%
MIL,Milwaukee,2009,55-32-2,55,32,2,61.80%
PHX,Phoenix,2009,59-38-1,59,38,1,60.20%
UTA,Utah,2009,54-35-3,54,35,3,58.70%
ORD,Orlando,2009,55-39-2,55,39,2,57.30%
GSW,Golden State,2009,47-34-1,47,34,1,57.30%
OKC,Okla City,2009,51-37-0,51,37,0,58.00%
ATL,Atlanta,2009,52-41-0,52,41,0,55.90%
POR,Portland,2009,46-40-2,46,40,2,52.30%
CHI,Chicago,2009,45-40-2,45,40,2,51.70%
CHA,Charlotte,2009,45-40-1,45,40,1,52.30%
SAN,San Antonio,2009,47-44-1,47,44,1,51.10%
SAC,Sacramento,2009,40-39-3,40,39,3,48.80%
MIA,Miami,2009,43-43-1,43,43,1,49.40%
IND,Indiana,2009,40-41-1,40,41,1,48.80%
MEM,Memphis,2009,39-41-2,39,41,2,47.60%
TOR,Toronto,2009,39-43-0,39,43,0,47.60%
BOS,Boston,2009,49-55-2,49,55,2,46.20%
NYK,New York,2009,38-43-1,38,43,1,46.30%
NOP,New Orleans,2009,37-44-1,37,44,1,45.10%
MIN,Minnesota,2009,37-44-1,37,44,1,45.10%
CLE,Cleveland,2009,42-50-1,42,50,1,45.20%
DAL,Dallas,2009,39-47-2,39,47,2,44.30%
DEN,Denver,2009,37-45-6,37,45,6,42.00%
HOU,Houston,2009,37-45-0,37,45,0,45.10%
LAL,LA Lakers,2009,45-57-3,45,57,3,42.90%
WAS,Washington,2009,35-45-2,35,45,2,42.70%
LAC,LA Clippers,2009,35-46-1,35,46,1,42.70%
DET,Detroit,2009,34-46-2,34,46,2,41.50%
PHI,Philadelphia,2009,34-47-1,34,47,1,41.50%
BKN,Brooklyn,2009,33-48-1,33,48,1,40.20%
MEM,Memphis,2010,60-33-2,60,33,2,63.20%
DAL,Dallas,2010,59-40-4,59,40,4,57.30%
CHI,Chicago,2010,56-40-2,56,40,2,57.10%
NYK,New York,2010,48-36-2,48,36,2,55.80%
PHI,Philadelphia,2010,49-37-1,49,37,1,56.30%
DEN,Denver,2010,46-36-5,46,36,5,52.90%
HOU,Houston,2010,43-37-2,43,37,2,52.40%
DET,Detroit,2010,44-38-0,44,38,0,53.70%
OKC,Okla City,2010,51-46-2,51,46,2,51.50%
MIL,Milwaukee,2010,41-38-3,41,38,3,50.00%
SAN,San Antonio,2010,44-41-3,44,41,3,50.00%
MIA,Miami,2010,52-49-2,52,49,2,50.50%
